"Snapshot Name","Trial","Frame Size (bytes)","Load (fps)","Agg Intended Load (fps)","Agg Offered Load (fps)","Agg Forwarding Rate (fps)","Agg Offered L1 Load (bps)","Agg Forwarding L1 Rate (bps)","Frame Loss (%)","Tx Count (frames)","Rx Count (frames)","Frame Loss (frames)","Duplicate Count (frames)","Tx Queue Full Drop Frame Count (frames)","Tx Queue Full Retry Frame Count (frames)","Tx Queue Full Drop (%)","Stream Avg Latency (µs)","Avg Jitter (µs)","Expected Stream Count","Missing Stream Count","Flooded Stream Count","Flooded Count (frames)"
"Trial 1 Frame Size 64 Rate 100000.0 fps","1","64","100,000","200,000","200,328.8","199,982.96","134,621,054.4","134,388,841.77","0","4,006,576","4,006,604","0","0","0","0","0","-1.61","0.27","2","0","2","28"
"Trial 1 Frame Size 64 Rate 400000.0 fps","1","64","400,000","800,000","338,939.65","337,543.38","227,767,512","226,829,839.16","0.4","6,778,793","6,751,392","27,427","0","27,427","0","0.4","-1.74","0.41","2","0","2","26"
"Trial 1 Frame Size 64 Rate 700000.0 fps","1","64","700,000","1,400,000","339,085.75","338,948.72","227,865,691.2","227,774,255.06","0.01","6,781,715","6,781,236","508","0","0","0","0","-1.28","0.41","2","0","2","29"
"Trial 1 Frame Size 64 Rate 1000000.0 fps","1","64","1,000,000","2,000,000","338,654.85","338,195.05","227,576,126.4","227,267,806.36","0","6,773,097","6,772,790","325","0","0","0","0","-0.59","0.41","2","0","2","18"
"Trial 1 Frame Size 64 Rate 1300000.0 fps","1","64","1,300,000","2,600,000","338,878.55","338,211.09","227,726,452.8","227,278,616.89","0","6,777,571","6,777,592","0","0","0","0","0","-1.32","0.41","2","0","2","21"
"Trial 1 Frame Size 64 Rate 1600000.0 fps","1","64","1,600,000","3,200,000","337,015.2","337,679.88","226,474,281.6","226,921,663.08","0","6,740,304","6,740,333","0","0","0","0","0","-0.98","0.41","2","0","2","29"
"Trial 1 Frame Size 64 Rate 1900000.0 fps","1","64","1,900,000","3,800,000","339,564.95","338,168.82","228,187,713.6","227,250,223.31","0","6,791,299","6,791,322","0","0","0","0","0","-0.54","0.41","2","0","2","23"
"Trial 1 Frame Size 64 Rate 2200000.0 fps","1","64","2,200,000","4,400,000","338,116.55","338,237.06","227,214,388.8","227,296,038.06","0.01","6,762,331","6,761,436","913","0","0","0","0","-1.58","0.41","2","0","2","18"
"Trial 1 Frame Size 64 Rate 2500000.0 fps","1","64","2,500,000","5,000,000","338,945.75","338,748.52","227,771,611.2","227,639,307.35","0.05","6,778,915","6,775,696","3,239","0","3,239","0","0.05","-2.82","0.41","2","0","2","20"
"Trial 1 Frame Size 64 Rate 2800000.0 fps","1","64","2,800,000","5,600,000","338,310.45","338,824.3","227,344,689.6","227,690,724.96","0","6,766,209","6,766,233","0","0","0","0","0","-0.31","0.41","2","0","2","24"
